team,Date,pitcher_1,pitcher_2,pitcher_3,pitcher_4,pitcher_5,pitcher_6,pitcher_7,pitcher_8,pitcher_9,pitcher_10,pitcher_11,pitcher_12,pitcher_13,pitcher_14,pitcher_15,catcher_1,catcher_2,catcher_3,catcher_4,catcher_5,infielder_1,infielder_2,infielder_3,infielder_4,infielder_5,infielder_6,infielder_7,infielder_8,infielder_9,infielder_10,outfielder_1,outfielder_2,outfielder_3,outfielder_4,outfielder_5,outfielder_6,outfielder_7,outfielder_8,outfielder_9,outfielder_10
phillies,07/02/2022 18:12:58,José Alvarado,Mark Appel,Andrew Bellatti,Seranthony Domínguez,Bailey Falter,Jeurys Familia,Kyle Gibson,Brad Hand,Corey Knebel,Nick Nelson,Aaron Nola,Ranger Suárez,Zack Wheeler,,,J.T. Realmuto,Garrett Stubbs,,,,Alec Bohm,Didi Gregorius,Darick Hall,Rhys Hoskins,Yairo Muñoz,Bryson Stott,,,,,Nick Castellanos,Odúbel Herrera,Mickey Moniak,Kyle Schwarber,Matt Vierling,,,,,
pirates,07/02/2022 18:12:58,David Bednar,Tyler Beede,Austin Brice,JT Brubaker,Roansy Contreras,Wil Crowe,Chase De Jong,Yerry De Los Santos,Mitch Keller,José Quintana,Chris Stratton,Cam Vieaux,Bryse Wilson,,,Tyler Heineman,Michael Perez,,,,Diego Castillo,Michael Chavis,Oneil Cruz,Ke'Bryan Hayes,Tucupita Marcano,Hoy Park,Josh VanMeter,Daniel Vogelbach,,,Bligh Madris,Bryan Reynolds,Jack Suwinski,,,,,,,
padres,07/02/2022 18:12:58,Mike Clevinger,Nabil Crismatt,Yu Darvish,Luis García,MacKenzie Gore,Tim Hill,Ray Kerr,Sean Manaea,Nick Martinez,Joe Musgrove,Taylor Rogers,Blake Snell,Craig Stammen,,,Jorge Alfaro,Austin Nola,,,,C.J. Abrams,Matthew Batten,Jake Cronenworth,Eric Hosmer,Ha-Seong Kim,Manny Machado,Luke Voit,,,,José Azocar,Trent Grisham,Nomar Mazara,Jurickson Profar,,,,,,
giants,07/02/2022 18:12:58,John Brebbia,Alex Cobb,Camilo Doval,Jarlín García,Dominic Leone,Sam Long,Yunior Marte,Jake McGee,Carlos Rodón,Tyler Rogers,Logan Webb,Alex Wood,,,,Curt Casali,Austin Wynns,,,,Brandon Belt,Thairo Estrada,Wilmer Flores,Tommy La Stella,Evan Longoria,Darin Ruf,Jason Vosler,Donovan Walton,,,Joc Pederson,Austin Slater,LaMonte Wade Jr.,Mike Yastrzemski,,,,,,
mariners,07/02/2022 18:12:58,Ryan Borucki,Diego Castillo,Chris Flexen,Logan Gilbert,Ken Giles,Marco Gonzales,George Kirby,Tommy Milone,Andrés Muñoz,Penn Murfee,Robbie Ray,Paul Sewald,Erik Swanson,,,Andrew Knapp,Cal Raleigh,,,,Adam Frazier,Sam Haggerty,Carlos Santana,Eugenio Suárez,Abraham Toro,,,,,,Dylan Moore,Julio Rodríguez,Justin Upton,Marcus Wilson,Jesse Winker,,,,,
cardinals,07/02/2022 18:12:58,Junior Fernández,Giovanny Gallegos,Ryan Helsley,Jordan Hicks,Dakota Hudson,Matthew Liberatore,Miles Mikolas,James Naile,Packy Naughton,Johan Oviedo,Andre Pallante,Zack Thompson,Adam Wainwright,,,Iván Herrera,Andrew Knizner,,,,Nolan Arenado,Brendan Donovan,Tommy Edman,Paul Goldschmidt,Nolan Gorman,Albert Pujols,Edmundo Sosa,,,,Conner Capel,Dylan Carlson,Lars Nootbaar,Juan Yepez,,,,,,
rays,07/02/2022 18:12:58,Jason Adam,Shawn Armstrong,Shane Baz,Jalen Beeks,Calvin Faucher,Ralph Garza Jr.,Javy Guerra,Corey Kluber,Dusten Knight,Shane McClanahan,Colin Poche,Drew Rasmussen,Phoenix Sanders,Matt Wisler,,Francisco Mejía,René Pinto,,,,Vidal Bruján,Ji-Man Choi,Yandy Díaz,Wander Franco,Isaac Paredes,Harold Ramírez,Taylor Walls,,,,Randy Arozarena,Kevin Kiermaier,Josh Lowe,Brett Phillips,,,,,,
rangers,07/02/2022 18:12:58,Joe Barlow,Brock Burke,Dane Dunning,Jon Gray,John King,José Leclerc,Brett Martin,Matt Moore,Glenn Otto,Martín Pérez,Garrett Richards,Dennis Santana,Josh Sborz,,,Mitch Garver,Jonah Heim,Meibrys Viloria,,,Charlie Culberson,Nathaniel Lowe,Brad Miller,Corey Seager,Marcus Semien,Josh H. Smith,,,,,Kole Calhoun,Steven Duggar,Adolis García,Leody Taveras,,,,,,
bluejays,07/02/2022 18:12:58,José Berríos,Max Castillo,Adam Cimber,Matt Gage,Kevin Gausman,Yusei Kikuchi,Casey Lawrence,Alek Manoah,Tim Mayza,David Phelps,Jordan Romano,Sergio Romo,Ross Stripling,Trent Thornton,,Zack Collins,Alejandro Kirk,Gabriel Moreno,,,Bo Bichette,Cavan Biggio,Matt Chapman,Santiago Espinal,Vladimir Guerrero Jr.,,,,,,Lourdes Gurriel Jr.,Teoscar Hernández,George Springer,Raimel Tapia,Bradley Zimmer,,,,,
nationals,07/02/2022 18:12:58,Steve Cishek,Patrick Corbin,Carl Edwards Jr.,Paolo Espino,Erick Fedde,Kyle Finnegan,Reed Garrett,Josiah Gray,Andres Machado,Tanner Rainey,Erasmo Ramírez,Jackson Tetreault,Mason Thompson,,,Tres Barrera,Keibert Ruiz,,,,Josh Bell,Alcides Escobar,Maikel Franco,Luis García,César Hernández,,,,,,Ehire Adrianza,Yadiel Hernandez,Victor Robles,Juan Soto,Lane Thomas,Nelson Cruz,,,,
dbacks,07/03/2022 18:12:37,Madison Bumgarner,Zac Gallen,Merrill Kelly,Ian Kennedy,Dallas Keuchel,Joe Mantiply,Mark Melancon,Kyle Nelson,Sean Poppen,Noé Ramirez,Caleb Smith,Luke Weaver,J.B. Wendelken,,,Jose Herrera,Carson Kelly,Daulton Varsho,,,Jake Hager,Buddy Kennedy,Ketel Marte,Geraldo Perdomo,Josh Rojas,Christian Walker,,,,,Cooper Hummel,Jordan Luplow,David Peralta,Alek Thomas,,,,,,
braves,07/03/2022 18:12:37,Ian Anderson,Silvino Bracho,Jesse Chavez,Max Fried,Dylan Lee,Collin McHugh,A.J. Minter,Charlie Morton,Darren O'Day,Will Smith,Jackson Stephens,Spencer Strider,Kyle Wright,,,William Contreras,Travis d'Arnaud,,,,Orlando Arcia,Mike Ford,Phil Gosselin,Matt Olson,Austin Riley,Dansby Swanson,,,,,Ronald Acuña Jr.,Adam Duvall,Michael Harris II,Guillermo Heredia,Marcell Ozuna,,,,,
orioles,07/03/2022 18:12:37,Keegan Akin,Bryan Baker,Félix Bautista,Joey Krehbiel,Dean Kremer,Jorge López,Jordan Lyles,Cionel Pérez,Dillon Tate,Nick Vespi,Austin Voth,Spenser Watkins,Tyler Wells,,,Robinson Chirinos,Adley Rutschman,,,,Jonathan Araúz,Trey Mancini,Richie Martin,Jorge Mateo,Ryan Mountcastle,Tyler Nevin,Rougned Odor,,,,Austin Hays,Ryan McKenna,Cedric Mullins,Anthony Santander,,,,,,
redsox,07/03/2022 18:12:37,Ryan Brasier,Tyler Danish,Austin Davis,Jake Diekman,Tanner Houck,Nick Pivetta,Hansel Robles,Hirokazu Sawamura,John Schreiber,Connor Seabold,Matt Strahm,Michael Wacha,Josh Winckowski,,,Kevin Plawecki,Christian Vázquez,,,,Xander Bogaerts,Franchy Cordero,Bobby Dalbec,Rafael Devers,Trevor Story,,,,,,Christian Arroyo,Jackie Bradley Jr.,Jarren Duran,Rob Refsnyder,Alex Verdugo,J.D. Martinez,,,,
cubs,07/03/2022 18:12:37,Scott Effross,Mychal Givens,Kyle Hendricks,Brandon Hughes,Mark Leiter Jr.,Chris Martin,David Robertson,Michael Rucker,Adrian Sampson,Justin Steele,Matt Swarmer,Keegan Thompson,Rowan Wick,,,Willson Contreras,Yan Gomes,P.J. Higgins,,,David Bote,Nico Hoerner,Alfonso Rivas,Andrelton Simmons,Patrick Wisdom,,,,,,Narciso Crook,Ian Happ,Christopher Morel,Rafael Ortega,Nelson Velázquez,,,,,
whitesox,07/03/2022 18:12:37,Tanner Banks,Dylan Cease,Johnny Cueto,Matt Foster,Lucas Giolito,Kendall Graveman,Joe Kelly,Michael Kopech,Jimmy Lambert,Reynaldo López,Lance Lynn,José Ruiz,Vince Velasquez,,,Reese McGuire,Seby Zavala,,,,José Abreu,Tim Anderson,Jake Burger,Leury García,Josh Harrison,Yoán Moncada,Gavin Sheets,,,,Adam Haseley,AJ Pollock,Luis Robert,Andrew Vaughn,,,,,,
reds,07/03/2022 18:12:37,Graham Ashcraft,Luis Castillo,Luis Cessa,Ross Detwiler,Hunter Greene,Jeff Hoffman,Joel Kuhnel,Tyler Mahle,Mike Minor,Dauri Moreta,Reiver Sanmartin,Hunter Strickland,Art Warren,,,Aramis Garcia,Michael Papierski,,,,Brandon Drury,Kyle Farmer,Jonathan India,Mike Moustakas,Matt Reynolds,Donovan Solano,Joey Votto,,,,Albert Almora Jr.,Tommy Pham,Max Schrock,Nick Senzel,,,,,,
guardians,07/03/2022 18:12:37,Shane Bieber,Aaron Civale,Emmanuel Clase,Enyel De Los Santos,Sam Hentges,James Karinchak,Triston McKenzie,Eli Morgan,Zach Plesac,Cal Quantrill,Bryan Shaw,Trevor Stephan,Alex Young,,,Sandy León,Luke Maile,,,,Gabriel Arias,Ernie Clement,Andrés Giménez,Owen Miller,Josh Naylor,José Ramírez,Amed Rosario,,,,Steven Kwan,Richie Palacios,Franmil Reyes,Myles Straw,,,,,,
rockies,07/03/2022 18:12:37,Daniel Bard,Jake Bird,Ty Blach,Jhoulys Chacín,Alex Colomé,Carlos Estévez,Kyle Freeland,Lucas Gilbreath,Austin Gomber,Ashton Goudeau,Chad Kuhl,Germán Márquez,Robert Stephenson,,,Elias Díaz,Brian Serven,,,,C.J. Cron,Garrett Hampson,José Iglesias,Ryan McMahon,Elehuris Montero,Brendan Rodgers,,,,,Charlie Blackmon,Kris Bryant,Yonathan Daza,Randal Grichuk,Connor Joe,,,,,
tigers,07/03/2022 18:12:37,Tyler Alexander,Beau Brieske,Andrew Chafin,Jason Foley,Michael Fulmer,Garrett Hill,Joe Jiménez,Alex Lange,Wily Peralta,Michael Pineda,Tarik Skubal,Gregory Soto,Will Vest,,,Tucker Barnhart,Eric Haase,,,,Javier Báez,Jeimer Candelario,Harold Castro,Jonathan Schoop,Spencer Torkelson,,,,,,Willi Castro,Kody Clemens,Riley Greene,Robbie Grossman,Victor Reyes,Miguel Cabrera,,,,
astros,07/03/2022 18:12:37,Bryan Abreu,Luis Garcia,Cristian Javier,Seth Martinez,Phil Maton,Rafael Montero,Héctor Neris,Enoli Paredes,Ryan Pressly,Ryne Stanek,José Urquidy,Framber Valdez,Justin Verlander,,,Korey Lee,Martín Maldonado,,,,Jose Altuve,Alex Bregman,Aledmys Díaz,Yuli Gurriel,J.J. Matijevic,Jeremy Peña,,,,,Mauricio Dubón,Chas McCormick,Jake Meyers,Kyle Tucker,Yordan Alvarez,,,,,
royals,07/03/2022 18:12:37,Scott Barlow,Kris Bubic,Taylor Clarke,Dylan Coleman,Jose Cuas,Amir Garrett,Zack Greinke,Jonathan Heasley,Brad Keller,Jackson Kowar,Wyatt Mills,Joel Payamps,Brady Singer,,,Cam Gallagher,MJ Melendez,,,,Hunter Dozier,Nicky Lopez,Whit Merrifield,Ryan O'Hearn,Vinnie Pasquantino,Emmanuel Rivera,Bobby Witt Jr.,,,,Andrew Benintendi,Kyle Isbel,Edward Olivares,Michael A. Taylor,,,,,,
angels,07/03/2022 18:12:37,Jaime Barría,Michael Lorenzen,Aaron Loup,Oliver Ortega,Elvis Peguero,José Quijada,Patrick Sandoval,Chase Silseth,José Suarez,Noah Syndergaard,Ryan Tepera,Andrew Wantz,Shohei Ohtani,,,Max Stassi,Kurt Suzuki,,,,David MacKinnon,Luis Rengifo,Michael Stefanic,Andrew Velazquez,Jonathan Villar,Jared Walsh,,,,,Monte Harrison,Brandon Marsh,Mike Trout,Taylor Ward,,,,,,
dodgers,07/03/2022 18:12:37,Yency Almonte,Tyler Anderson,Phil Bickford,Tony Gonsolin,Brusdar Graterol,Clayton Kershaw,Craig Kimbrel,Reyes Moronta,Evan Phillips,David Price,Julio Urías,Alex Vesia,Mitch White,,,Austin Barnes,Will Smith,,,,Hanser Alberto,Eddy Alvarez,Freddie Freeman,Jake Lamb,Gavin Lux,Max Muncy,Trea Turner,Justin Turner,,,Cody Bellinger,Mookie Betts,Chris Taylor,Trayce Thompson,,,,,,
marlins,07/03/2022 18:12:37,Sandy Alcantara,Anthony Bass,Richard Bleier,Daniel Castano,Dylan Floro,Braxton Garrett,Pablo López,Tommy Nance,Steven Okert,Zach Pop,Trevor Rogers,Tanner Scott,Jimmy Yacabonis,,,Nick Fortes,Jacob Stallings,,,,Jesús Aguilar,Brian Anderson,Jon Berti,Garrett Cooper,Billy Hamilton,Miguel Rojas,Joey Wendle,Luke Williams,,,Bryan De La Cruz,Avisaíl García,Jesús Sánchez,,,,,,,
brewers,07/03/2022 18:12:37,Jason Alexander,Aaron Ashby,Brad Boxberger,Corbin Burnes,Chi Chi González,Trevor Gott,Jandel Gustave,Josh Hader,Eric Lauer,Hoby Milner,Brent Suter,Devin Williams,Brandon Woodruff,,,Victor Caratini,Omar Narváez,Pedro Severino,,,Willy Adames,Mike Brosseau,Keston Hiura,Jace Peterson,Rowdy Tellez,Luis Urías,Kolten Wong,,,,Jonathan Davis,Andrew McCutchen,Christian Yelich,,,,,,,
twins,07/03/2022 18:12:37,Chris Archer,Dylan Bundy,Jharel Cotton,Tyler Duffey,Jhoan Duran,Sonny Gray,Griffin Jax,Juan Minaya,Jovani Moran,Emilio Pagán,Joe Ryan,Devin Smeltzer,Caleb Thielbar,,,Ryan Jeffers,Gary Sánchez,,,,Luis Arraez,Carlos Correa,Jose Miranda,Jorge Polanco,Gio Urshela,,,,,,Byron Buxton,Gilberto Celestino,Kyle Garlick,Nick Gordon,Max Kepler,Alex Kirilloff,,,,
mets,07/03/2022 18:12:37,R.J. Alvarez,Carlos Carrasco,Edwin Díaz,Colin Holderman,Tommy Hunter,Seth Lugo,Adonis Medina,Adam Ottavino,Joely Rodríguez,Chasen Shreve,Drew Smith,Taijuan Walker,Trevor Williams,,,James McCann,Tomás Nido,,,,Pete Alonso,J.D. Davis,Eduardo Escobar,Luis Guillorme,Francisco Lindor,Jeff McNeil,Dominic Smith,,,,Mark Canha,Ender Inciarte,Starling Marte,Brandon Nimmo,,,,,,
yankees,07/03/2022 18:12:37,Albert Abreu,Aroldis Chapman,Gerrit Cole,Nestor Cortes,Clay Holmes,Michael King,Lucas Luetge,Jordan Montgomery,Wandy Peralta,JP Sears,Luis Severino,Jameson Taillon,Ryan Weber,,,Kyle Higashioka,Jose Trevino,,,,Josh Donaldson,Marwin Gonzalez,Isiah Kiner-Falefa,DJ LeMahieu,Anthony Rizzo,Gleyber Torres,,,,,Joey Gallo,Aaron Hicks,Aaron Judge,Matt Carpenter,Giancarlo Stanton,,,,,
athletics,07/03/2022 18:12:37,Domingo Acevedo,Paul Blackburn,Cole Irvin,Zach Jackson,James Kaprielian,Adrian Martinez,Sam Moll,Frankie Montas,Austin Pruitt,A.J. Puk,Sam Selman,Kirby Snead,Lou Trivino,,,Sean Murphy,Stephen Vogt,,,,Nick Allen,Elvis Andrus,Christian Bethancourt,Seth Brown,Tony Kemp,Vimael Machín,Sheldon Neuse,,,,Skye Bolt,Ramón Laureano,Chad Pinder,Stephen Piscotty,,,,,,
phillies,07/03/2022 18:12:37,José Alvarado,Mark Appel,Andrew Bellatti,Seranthony Domínguez,Bailey Falter,Jeurys Familia,Kyle Gibson,Brad Hand,Corey Knebel,Nick Nelson,Aaron Nola,Ranger Suárez,Zack Wheeler,,,J.T. Realmuto,Garrett Stubbs,,,,Alec Bohm,Didi Gregorius,Darick Hall,Rhys Hoskins,Yairo Muñoz,Bryson Stott,,,,,Nick Castellanos,Odúbel Herrera,Mickey Moniak,Kyle Schwarber,Matt Vierling,,,,,
pirates,07/03/2022 18:12:37,David Bednar,Tyler Beede,Austin Brice,JT Brubaker,Roansy Contreras,Wil Crowe,Chase De Jong,Mitch Keller,José Quintana,Chris Stratton,Zach Thompson,Duane Underwood Jr.,Cam Vieaux,,,Tyler Heineman,Michael Perez,,,,Diego Castillo,Michael Chavis,Oneil Cruz,Ke'Bryan Hayes,Tucupita Marcano,Hoy Park,Josh VanMeter,Daniel Vogelbach,,,Bligh Madris,Bryan Reynolds,Jack Suwinski,,,,,,,
padres,07/03/2022 18:12:37,Mike Clevinger,Nabil Crismatt,Yu Darvish,Luis García,MacKenzie Gore,Tim Hill,Ray Kerr,Sean Manaea,Nick Martinez,Joe Musgrove,Taylor Rogers,Tayler Scott,Blake Snell,Craig Stammen,,Jorge Alfaro,Austin Nola,,,,C.J. Abrams,Matthew Batten,Jake Cronenworth,Eric Hosmer,Ha-Seong Kim,Manny Machado,Luke Voit,,,,José Azocar,Trent Grisham,Nomar Mazara,Jurickson Profar,,,,,,
giants,07/03/2022 18:12:37,John Brebbia,Alex Cobb,Camilo Doval,Jarlín García,Sean Hjelle,Dominic Leone,Sam Long,Yunior Marte,Jake McGee,Carlos Rodón,Tyler Rogers,Logan Webb,Alex Wood,,,Curt Casali,Austin Wynns,,,,Brandon Belt,Thairo Estrada,Wilmer Flores,Tommy La Stella,Evan Longoria,Darin Ruf,Donovan Walton,,,,Joc Pederson,Austin Slater,LaMonte Wade Jr.,Mike Yastrzemski,,,,,,
mariners,07/03/2022 18:12:37,Ryan Borucki,Diego Castillo,Chris Flexen,Logan Gilbert,Ken Giles,Marco Gonzales,George Kirby,Tommy Milone,Andrés Muñoz,Penn Murfee,Robbie Ray,Paul Sewald,Erik Swanson,,,Andrew Knapp,Cal Raleigh,,,,Adam Frazier,Sam Haggerty,Carlos Santana,Eugenio Suárez,Abraham Toro,,,,,,Dylan Moore,Julio Rodríguez,Justin Upton,Marcus Wilson,Jesse Winker,,,,,
cardinals,07/03/2022 18:12:37,Junior Fernández,Giovanny Gallegos,Ryan Helsley,Jordan Hicks,Dakota Hudson,Matthew Liberatore,Miles Mikolas,James Naile,Packy Naughton,Johan Oviedo,Andre Pallante,Zack Thompson,Adam Wainwright,,,Iván Herrera,Andrew Knizner,,,,Nolan Arenado,Brendan Donovan,Tommy Edman,Paul Goldschmidt,Nolan Gorman,Albert Pujols,Edmundo Sosa,,,,Conner Capel,Dylan Carlson,Lars Nootbaar,Juan Yepez,,,,,,
rays,07/03/2022 18:12:37,Jason Adam,Shawn Armstrong,Shane Baz,Jalen Beeks,Calvin Faucher,Javy Guerra,Corey Kluber,Shane McClanahan,Cristofer Ogando,Colin Poche,Drew Rasmussen,Phoenix Sanders,Matt Wisler,,,Francisco Mejía,René Pinto,,,,Vidal Bruján,Ji-Man Choi,Yandy Díaz,Wander Franco,Isaac Paredes,Harold Ramírez,Taylor Walls,,,,Randy Arozarena,Kevin Kiermaier,Josh Lowe,Brett Phillips,,,,,,
rangers,07/03/2022 18:12:37,Joe Barlow,Brock Burke,Dane Dunning,Jon Gray,John King,José Leclerc,Brett Martin,Matt Moore,Glenn Otto,Martín Pérez,Garrett Richards,Dennis Santana,Josh Sborz,,,Mitch Garver,Jonah Heim,Meibrys Viloria,,,Charlie Culberson,Nathaniel Lowe,Brad Miller,Corey Seager,Marcus Semien,Josh H. Smith,,,,,Kole Calhoun,Steven Duggar,Adolis García,Leody Taveras,,,,,,
bluejays,07/03/2022 18:12:37,José Berríos,Adam Cimber,Matt Gage,Kevin Gausman,Yusei Kikuchi,Alek Manoah,Tim Mayza,David Phelps,Trevor Richards,Jordan Romano,Sergio Romo,Ross Stripling,Trent Thornton,,,Zack Collins,Alejandro Kirk,Gabriel Moreno,,,Bo Bichette,Cavan Biggio,Matt Chapman,Santiago Espinal,Vladimir Guerrero Jr.,,,,,,Lourdes Gurriel Jr.,Teoscar Hernández,George Springer,Raimel Tapia,Bradley Zimmer,,,,,
nationals,07/03/2022 18:12:37,Steve Cishek,Patrick Corbin,Carl Edwards Jr.,Paolo Espino,Erick Fedde,Kyle Finnegan,Reed Garrett,Josiah Gray,Andres Machado,Tanner Rainey,Erasmo Ramírez,Jackson Tetreault,Mason Thompson,,,Tres Barrera,Keibert Ruiz,,,,Josh Bell,Alcides Escobar,Maikel Franco,Luis García,César Hernández,,,,,,Ehire Adrianza,Yadiel Hernandez,Victor Robles,Juan Soto,Lane Thomas,Nelson Cruz,,,,
